Sports,99 days to go until the start of #ct13 did you know chris gayle is the only player in the event u2019s history to be dismissed for 99
Sports,tonight scottish first division match between dumbarton and raith rovers has been postponed due to frozen pitch http //t co drlbdwmtsl
Sports,10 off the over 10 required captain faulkner to bowl the last over in close discussion with veteran warne final spot on the line #bbl02
Politics,. gsanetwork raises awareness &amp stands up to stop #lgbt #bullying in school &amp online http //t co fwig5vvvmi @glaad
Sports,another wonderful start from england new ball pair anderson and finn have been right on the money nz 6-1 from four overs #nzveng
Politics,#food minister there will now be legal entitlement along with monetary benefits with the food security bill
Sports,precious four to hartley with time running out #bbl02 #bigfinals
Politics,blasts deja vu how many times have we been in this *exact moment failed or ignored intel no cctvs blame game and innocents dead
Politics,rt @fa books book of the day why the occasional financial bubble is necessary for innovation http //t co ogqkx8ho
Sports,#djokovic wants to keep it sweet #ausopen #3peat http //t co m2ymtctx
Sports,1st test 1.5 lyon to vijay runs 11 #indvaus http //t co fvnl1ktpb1 @bcci
Sports,four off the first ball white gets thick edge which flies off the bat to thrid man #bbl02 #bigfinals
Sports,former hull boss phil brown on @bbc5live everton looked rattled and matt smith has come on and done his job http //t co vtyllxrkz4
Sports,@willsimmons 98 hi william you ll be pleased to hear it palace v. boro
Sports,if you re walking beside the thames today watch out for @brentfordfc fans going to chelsea by boat via @beeinthebush http //t co qewuuwt8
Politics,president obama signs new directive to strengthen our work to advance gender equality worldwide http //t co e3z74trj
Politics,obama we won u2019t grow the middle class simply by shifting the cost of health care or college onto families that are already struggling \
Politics,on jan 10 pm #abe received courtesy call from mr yoshihiro murai governor of miyagi prefecture \\nhttp //t co esyp40gl
Politics,#mandeladay container library opens in one of south africa u2019s oldest townships http //t co 8jsgojuo4k
Politics,rt @filmfare interview salman khan represents what the indian film industry should be milind deora :: http //t co vtu75zj6 :: http ..
Politics,your constituents want you for your opinions your philosophy for you subjectivity the contender
Politics,president obama holds news conference @11 30amet live signals on ch and hd
Politics,video of last week hot topics #2pack #draghi pensions &amp #drug tests @europarltv video http //t co 9gvba315vm
Sports,rt @capitalone cup rt by 9am tomorrow for chance to win special #capitalonecup final @mitresports ball t&amp cs http //t co jut0ir ..
Politics, @fhollande at #ep there will be no respite while out of people looks for job and millions suffer from insecurity http //t co hcgycgxh
Politics,our team will be blogging regularly from the bcim car rally on our blog http //t co bwg0nwoh
Politics,14 february 1983 stitches in #nelsonmandela u2019s head removed by prison official #historicaltweet
Politics,does the crisis make us sick follow #stoa workshop on health protection w/ @eu health @who europe frm 2.30pm cet \\n n\\n http //t co pt83z1kdo4
Politics,pm @glasgow2018 shortlisting fantastic for glasgow &amp vote of confidence in uk ability to host major sporting events http //t co etqyeec8
Politics,@smitaroy always :-
Sports,here @dembabafoot talking about his fa cup hopes ahead of tonight tie http //t co z0hww6r3xl #cfc
Politics,surgeon general says its hazardous to breathe ill have another cigarette because can see tell me who you re going to believe gn r
Sports,somehow you always find yourself in the middle of sports related debate
Politics,find out more about catherine #ashton head of @eu eeas in @europarllibrary brief http //t co 5axy9zah
Politics,russian indian talks http //t co wf839afn
Sports,mcc reveal squad for argentina trip http //t co bfkxwjv6lv
Sports,@richjamesmetro hi again we have your details so one of our comms team will contact you might not be monday is that ok
Sports,what match @qldcricket have won the #ryobiodc final in thriller at the mcg amazing scenes scorecard http //t co m9fjtl6htc
Sports,1st test 36 6: ashwin to warner runs 97 #indvaus http //t co fvnl1ktpb1 @bcci
Sports,1st test 15 6: wicket watson is out virender sehwag ravichandran ashwin 34 #indvaus http //t co fvnl1ktpb1 @bcci
Sports,everton starting xi oldham howard coleman jagielka distin baines mirallas neville gibson pienaar osman jelavic #efc
Sports,goal real madrid score third through \\nrapha xebl varane who rises highest to head home #barca 0-3 #real (agg 1-4 #elclasico
Politics,on jan 25 pm #abe held the first meeting of the headquarters on the abduction issue \\nhttp //t co uwfgnlk5
Politics,join empowering #lgbt youth &amp combating homophobia in sports q&amp with @angelahucles feb 21 at 09est 14utc http //t co mb4kiawf @conx
Sports,in league one doncaster moved top when goal from kyle bennett deep into stoppage time sealed 2-1 win over shrewsbury #bbcfootball
Sports,the nba trade deadline has passed and kg is still with the @celtics -&gt http //t co totlweityr
Politics,on nov 12th pm #noda received courtesy call from ms michelle bachelet executive director of un women http //t co h4yyfx2l
Politics,players like jermaine jones introduce more #us fans to the beautiful game http //t co e39aihnf #football @usbotschaft
Politics,while you watch @cnn inauguration coverage on tv or http //t co rcz1v0hf get behind the scenes info and more at http //t co m6eibw0u
Politics,#railway budget 10 rpf vacancies being reserved for women
Politics,government has also set up group of ministers to talk to the trade union leaders http //t co quljp8oz
Politics,pm democratic consent for the #eu in britain is now wafer thin #euspeech
Sports,want to live like royalty at the #ausgp enter @channelten comp to win four seats in our trackside royal box http //t co veajhx9ucy
Politics,tomorrow vladimir putin will accept letters of credence from 19 new ambassadors
Sports,1st test over 68 runs (m henriques 34 lyon 0) #aus 179 #indvaus http //t co fvnl1ktpb1 @bcci
Politics,rt @caerusupdates irregular warfare is actually quite regular http //t co qkub5908 @maxboot @foreignaffairs
Politics,#economic survey fdi in retail can pave way for investment in new technology and marketing of agricultural produce in india
Politics,8 february 1985 #nelsonmandela receives copy of the parliamentary record of pw botha u2019s offer of conditional release
Politics,our north star http //t co btfaa1uv
Politics,\i was excited to be free &amp to see the crowds that had come to welcome me \\nalthough had not expected such turnout #nelsonmandela
Sports,rt @arashmarkazi blake griffin is turning the game into his own personal dunk contest
Politics,#railway budget introduction of executive lounge at more stations bilaspur visakhapatnam patna nagpur agra jaipur and bengaluru
Politics,an update from the @presidencyza on #nelsonmandela health http //t co kbwqen9m
Sports,#gbfedcup robson breaks again for 4-0
Sports,will any team come close to challenging south africa as the number one test team in 2013 #cricket
Politics,the house republicans u2019 spending reduction act of 2012 will hurt middle class families http //t co cb8xjyuz
Politics,mitt romney delivering concession speech to supporters in boston po 234tu
Politics,statement on the prime minister meeting with vice president biden http //t co zkql3iwd
Politics,americans have had enough of @barackobama u2019s stale rhetoric &amp canned excuses we need real leadership http //t co vk9idi4a #cantafford4more
Politics,major debate about eu growth survey 2013 at 3pm cet start of #europeansemester for better governanceof #singlemarket http //t co o4dmpsua
Politics,your share in the national debt over $51 000 \\u2013 an increase of over $16 000 under @barackobama
Politics,i think they re doing both @shaunneville everyone wants to join the anti establishment chorus when people need to introspect themselves
Politics,rt @helloindiafrica 24 january #davos switzerland #indiafrica day at india adda during the sidelines of the #wef 2013 !
Politics,the president meeting with the council of legislators on lawmakers cooperation on federal and regional levels http //t co aqjel3np
Sports,this week u2019s npower football league show #podcast (out later features @afcbournemouth new winger matt ritchie on his move from swindon ..
Sports,1st test over 36 runs (m clarke 16 warner 15 #aus 85 #indvaus http //t co fvnl1ktpb1 @bcci
Sports,rt @espncbb victor olapdio #playmaker #iuvsmichst
Politics,meeting on the development prospects for yamal offshore resources http //t co jpvleaqr
Sports,@shawndw1975 @patrickmcenroe that the #sleepisfortheweak dedication we like
Sports,luke pomersbach punt has paid off http //t co uciiq5mt #bigfinals #bbl02
Sports,cahill frank lampard is phenomenal he s in great form and is scoring for club and country which is the most important thing #cfc
Politics,would you like to send tribute for prof jakes gerwel or to send condolences to his family http //t co 7ocqa0ew
Sports,#gbfedcup @heatherwatson92 said i m really pleased played better today especially mentally got off to good start and even when she
Politics,video 50 years &amp still holding hands find out more about @elysee treaty engine for europn integration @europarltv http //t co moquxqxc
Sports,rt @effcharity frank lampard kindly arranged for some @effcharity guests to watch training this morning .. http //t co wugaubix
Sports,a fine ton by aaaaaron finch in the first innings here good support by tim paine #ausavengl gurinder sandhu looks good 2-18 off overs
Sports,fifa extends bans issued to 70 players officials from italy and four from south korea for match fixing http //t co mdyc5wmzm2 #bbcfootball
Sports,this time next month .. #ausgp #f1
Politics,10 january 1986 #nelsonmandela notes in his prison calendar that the film the killing fields \\u2018violently u2019 upset him
Politics,less than 10 days left to apply to join our team as an assistant editor http //t co wvru0fez #jobs #nyc
Sports,sa tightening grip on test with quick wickets this morning pak need at least 100 runs more from here (148 5) to make match of it ..
Sports,rt @jimmyanderson9 great series win always tough in nz here man of the moment @joeroot05 with his very proud parents .. http //t co ..
Politics,west wing week 01 18 13 or #nowisthetime this week president hamid karzai came to the white house as did ni .. http //t co 6l0youmv
Politics,rt @fa books book of the day @edwardlucas details how east west espionage is hardly thing of the past http //t co v8eyhbakuq
Politics,there no shortage of fun and quirky inauguration souvenirs for visitors to take home when they leave dc http //t co mwgfmk7p
Politics,dmitry medvedev it is essential for russia to ensure an active and systematic dialogue with civil society #wef #davos
Politics,1 in people sleep hungry every day infographic on #foodinsecurity in the world http //t co oridccti #keepwhatureap
Politics,pm will make further statement on #algeria at 3.30pm today in house of commons watch live here http //t co 7cnhuzx0 @ukparliament
Sports,king of aussie rock @jimmybarnes will be rocking the legends lane stage at the #ausgrandprix full schedule http //t co 8zmqaazg #ausgp
Sports,trivia time it is time for you to guess which cricket ground we are describing using #whereami
Politics,video in english press conference by chief cabinet secretary suga (january 23 2013 am http //t co 742amebq
Sports,rt @tennisfndation keep up to date with all the latest news &amp results as lots of our paralympians are in action at #northwestchalle ..
Politics,rt @medvedevrussiae merry christmas to all orthodox christians joy and prosperity to you all http //t co cunhwo8h
Sports,@racedepartment nah we re not don worry :p
Politics,@rbojji thanks and know what you mean
Sports,sunshine watson can play whatever the form of the game with bat and ball
Politics,#seckerry we value #health and #nutrition and the principle of helping people gain the strength to help themselves @feedthefuture
Politics,@wodehouserock :) funny !! !!
Politics,zoom in out up and down see the #ep like you ve never seen it before with our virtual tour http //t co m1mnvxpu #ep360
Sports,#ausavengl @calferguson12 has departed for 10 and aus are 2/38 in the 9th over roland jones the wicket taker http //t co x3iocuoxax
Politics,@swatitrivedi :)
Politics,8 december 1991 #nelsonmandela is awarded the carte menil human rights prize
Politics,if you re willing to work hard and play by the rules president obama will never stop fighting for you http //t co jdcjfliy
Politics,rt @pmoindia pm we reviewed progress on the jaitapur nuclear power project and reiterated our commitment to its early implementation
Sports,rt @perrinpezzabrwn only 50 weeks to go until the 2014 #ausopen begins #ausopenfinal @australianopen #7sport
Politics,rt @proflind as pyongyang outrages the world yet again see my @foreignaffairs article on why north korea gets away with it http //t ..
Sports,rahul dravid and ian chappell preview #indvaus with @bhogleharsha verdict india start as favourites http //t co aim2athmtg
Sports,btw forgot to mention gavaskar telling reminder to today `millionaire cricketers that test cricket is still the pinnacle of the sport
Sports,#fl125 only grounds from the first season in 1888 remain in use today deepdale turf moor &amp anfield (which was used by everton #trivia
Sports,#djokovic now handing out chocolate to the media ahead of flying to europe for @daviscup
Politics,rt @vp check out the new official portrait of vice president biden in his west wing office at the @whitehouse http //t co jste4qnnvy
Sports,if you want to get involved with fantasy premier league on the official website contact @joshualoveridge to join his league
Politics,launch of baksan hydroelectric power plant http //t co pozifjav
Sports,that blog is one that get updated very regularly and it not just about the premiership it about all different issues in the game
Politics,bill u2019s barbecue in richmond couldn take years of @barackobama can we afford four more http //t co nelhgvdr
Politics,rt @itswillyferrell typing lol when your face has less expression than brick
Sports,watch joe burns blaze 43 off 27 to get the @heatbbl to 167 http //t co tqyfjth4 #bbl02 #bigfinals
Politics,this is it make sure you vote today find your polling location http //t co uyh0qcds http //t co azs2chbb
Politics,vladimir putin expressed his condolences to barack obama on the tragedy in an elementary school in connecticut http //t co nh09mig0
Politics,@acorn @brownbrumby fully agree but why are there so many online folk ranting against that
Politics,arkady bakhin has been appointed first deputy defence minister oleg ostapenko has been appointed deputy defence minister
Politics,@scvaid23 thanks much
Sports,rt @official nffc nffc &amp alex mcleish part company http //t co 3yr4ixpv
Sports,@nandanf1 will you make it triple
Politics,@abhijity30 did !
